index,log_file,name,score,type,world
0,,greedy_1_0,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
1,,greedy_1_1,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
2,,greedy_2_0,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
3,,greedy_2_1,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
4,,greedy_2_2,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
5,,greedy_2_3,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
6,,greedy_3_0,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
7,,greedy_3_1,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
8,,greedy_3_2,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
9,,greedy_3_3,0.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
10,,greedy_3_4,200.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
11,,greedy_3_5,270.0,greedy,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
12,,my_2_0,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
13,,my_1_1,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
14,,my_1_2,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
15,,my_3_3,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
16,,my_1_4,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
17,,my_2_5,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
18,,my_3_6,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
19,,my_3_7,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
20,,my_2_8,0.0,my,SCMLWorld_95f7d541-bbab-46df-b929-b4796878bdc2
21,,greedy_1_0,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
22,,greedy_1_1,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
23,,greedy_2_0,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
24,,greedy_2_1,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
25,,greedy_2_2,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
26,,greedy_2_3,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
27,,greedy_3_0,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
28,,greedy_3_1,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
29,,greedy_3_2,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
30,,greedy_3_3,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
31,,greedy_3_4,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
32,,greedy_3_5,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
33,,greedy_4_0,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
34,,greedy_4_1,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
35,,greedy_4_2,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
36,,greedy_4_3,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
37,,greedy_4_4,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
38,,greedy_4_5,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
39,,greedy_4_6,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
40,,greedy_4_7,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
41,,greedy_5_0,78.5,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
42,,greedy_5_1,472.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
43,,greedy_5_2,105.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
44,,greedy_5_3,183.5,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
45,,greedy_5_4,78.5,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
46,,greedy_5_5,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
47,,greedy_5_6,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
48,,greedy_5_7,0.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
49,,greedy_5_8,78.5,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
50,,greedy_5_9,472.0,greedy,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
51,,my_3_0,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
52,,my_5_1,183.5,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
53,,my_2_2,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
54,,my_4_3,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
55,,my_2_4,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
56,,my_5_5,78.5,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
57,,my_2_6,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
58,,my_1_7,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
59,,my_5_8,105.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
60,,my_3_9,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
61,,my_1_10,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
62,,my_4_11,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
63,,my_4_12,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
64,,my_1_13,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
65,,my_3_14,0.0,my,SCMLWorld_8332af0f-1b80-45a9-9797-11db5df42c5e
66,,greedy_1_0,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
67,,greedy_1_1,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
68,,greedy_2_0,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
69,,greedy_2_1,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
70,,greedy_2_2,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
71,,greedy_2_3,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
72,,greedy_3_0,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
73,,greedy_3_1,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
74,,greedy_3_2,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
75,,greedy_3_3,0.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
76,,greedy_3_4,270.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
77,,greedy_3_5,180.0,greedy,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
78,,my_3_0,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
79,,my_3_1,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
80,,my_3_2,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
81,,my_2_3,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
82,,my_2_4,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
83,,my_1_5,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
84,,my_1_6,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
85,,my_2_7,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
86,,my_1_8,0.0,my,SCMLWorld_4536eebe-9453-494b-ab5b-27547373f9f8
87,,greedy_1_0,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
88,,greedy_1_1,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
89,,greedy_2_0,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
90,,greedy_2_1,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
91,,greedy_2_2,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
92,,greedy_2_3,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
93,,greedy_3_0,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
94,,greedy_3_1,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
95,,greedy_3_2,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
96,,greedy_3_3,0.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
97,,greedy_3_4,290.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
98,,greedy_3_5,200.0,greedy,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
99,,my_3_0,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
100,,my_2_1,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
101,,my_2_2,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
102,,my_1_3,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
103,,my_2_4,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
104,,my_1_5,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
105,,my_3_6,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
106,,my_1_7,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
107,,my_3_8,0.0,my,SCMLWorld_c4a3cc72-9e4f-4d67-a8a1-81f72cdee575
